,symbol,market,contract,name,trade,settlement,prevsettlement,open,high,low,close,bid,ask,bidvol,askvol,volume,position,currentvol,ticktime,tradedate,changepercent,createtime,updatetime
0,TA1905,czce,PTA,PTA1905,5802,5812,5824,5850,5898,5758,5880,5800,5802,312,70,815668,705166,0,14:49:30,2018/11/29,-0.0037775,,
1,TA0,czce,PTA,PTAÁ¬Ðø,5986,5982,5962,5990,6044,5944,6028,5984,5986,192,653,597200,663898,12,14:49:17,2018/11/29,0.0040255,,
2,TA1901,czce,PTA,PTA1901,5986,5982,5962,5990,6044,5944,6028,5984,5986,159,576,597536,663626,2,14:49:30,2018/11/29,0.0040255,,
3,TA1903,czce,PTA,PTA1903,5850,5852,5858,5888,5926,5808,5906,5848,5850,24,4,77914,151006,0,14:49:30,2018/11/29,-0.0013657,,
4,TA1909,czce,PTA,PTA1909,5774,5784,5800,5828,5870,5740,5854,5774,5778,5,5,9830,44874,2,14:49:28,2018/11/29,-0.0044828,,
